Número Activo|Revisado|Fecha revisión título|Título de la propiedad|Subtipo de título|Ratificación|Título de la propiedad entrada|Subtipo de título entrada|Instancia de libertad arrendataria|Situación inicial de inscripción|Situación posesoria inicial|Situación inicial cargas|Situación constructiva registral|Porcentaje de propiedad|Tipo de titularidad|Protección oficial|Autorización para la transmisión|Anotación Concurso|Estado de la gestión|En construcción física|Porcentaje construcción según tasación|En construcción jurídica|Porcentaje construcción según tasación|Certificado de fin de obra|Acta fin de obra/Obra nueva terminada|Licencia primera ocupación|Boletines|Seguro decenal|Cédula de habitabilidad|Fecha contrato|Legislación aplicable|Duración contrato|Tipo arrendamiento|Notificación a arrendatarios|Tipo de expediente |Estado de la gestión|Tipo de incidencia (contingencia registral)|Estado de la gestión|Tipo de ocupación|Tipo de incidencia (Ilocalizadas)|Estado de la gestión|Detalle del deterioro|Tipo de incidencia (Otros)|Estado de la gestión
6801014|SI|14/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02|||||||OBT|||||||||||||||
6801431|SI|14/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6801435|SI|14/04/2020|01|01|NA|||SI|INS|PDTE|AFF|01|100|PLD|01||||02||02|||||||||||||||9|||||||
6803408|SI|14/04/2020|01|01|NA|||NO|PDTE|PDTE|AJE|01|100|PLD|01||||02||02|||||||||||||||5|||||||
6803409|SI|14/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|02||||02||02||||||||||||||||||||||
6803411|SI|14/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|02||||02||02||||||||||||||||||||||
6803428|SI|14/04/2020|01|01|NA|||NO|PDTE|PDTE|AJE|01|100|PLD|01||||02||02|||||||||||||||5|||||||
6804136|SI|14/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6804138|SI|14/04/2020|01|01|NA|||NO|PDTE|OBT|AFF|01|100|PLD|01||||02||02||||||||||||||||||||||
6804149|SI|14/04/2020|01|01|NA|||SI|INS|OBT|AFF|01|100|PLD|01||||02||02||||||||||||||||||||||
6809739|SI|16/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02|||||||OBT|||||||||||||||
6809742|SI|16/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6809903|SI|16/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6809954|SI|16/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02|||||||||||||||2|||||||
6810004|SI|16/04/2020|01|01|NA|||NA|PDTE|PDTE|AJE|01|100|PLD|01||||02||02||||||||||||||||||||||
6810009|SI|16/04/2020|01|01|NA|||NA|PDTE|PDTE|AJE|01|100|PLD|01||||02||02||||||||||||||||||||||
6810010|SI|16/04/2020|01|01|NA|||NA|PDTE|PDTE|AJE|01|100|PLD|01||||02||02||||||||||||||||||||||
6810023|SI|16/04/2020|01|01|NA|||SI|INS|OBT|AFF|01|100|PLD|01||||02||02||||||||||||||||||||||
6810474|SI|16/04/2020|01|01|NA|||SI|PDTE|OBT|AFF|01|100|PLD|01||||02||02||||||||||||||||||||||
6810486|SI|16/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02|||||||||||||||5|||||||
6812065|SI|20/04/2020|01|01|NA|||SI|INS|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6812074|SI|20/04/2020|01|01|NA|||SI|INS|OBT|AFF|01|100|PLD|01||||02||02||||||||||||||||||||||
6812117|SI|20/04/2020|01|01|NA|||SI|INS|OBT|AFF|01|100|PLD|01||||02||02||||||||||||||||||||||
6812408|SI|20/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|03||||02||02||||||||||||||||||||||
6814467|SI|20/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|02||||02||02||||||||||||||||||||||
6814532|SI|20/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6814676|SI|20/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02|||||||||||||||2|||||||
6814681|SI|20/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02|||||||||||||||5||PRE|||||
6815808|SI|22/04/2020|01|01|NA|||SI|INS|PDTE|AFF|01|100|PLD|01||||02||02||||||||||||||||||||||
6815947|SI|22/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02|||||||||||||||5|||||||
6818271|SI|22/04/2020|01|01|NA|||NO|PDTE|PDTE|AJE|01|100|PLD|01||||02||02||||||||||||||||||||||
6818276|SI|22/04/2020|01|01|NA|||SI|INS|OBT|AFF|01|100|PLD|01||||02||02|||||||||||||||5|||||||
6824737|SI|27/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6824739|SI|27/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02|||||||||||||||5|||||||
6824752|SI|27/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6824754|SI|27/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02|||||||||||||||5|||||||
6824809|SI|07/05/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|03||||02||02||||||||||||||||||||||
6824843|SI|07/05/2020|01|01|NA|||SI|INS|OBT|AFF|01|100|PLD|01||||02||02||||||||||||||||||||||
6824905|SI|07/05/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|03||||02||02||||||||||||||||||||||
6828433|SI|30/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6828435|SI|08/05/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02|||||||||||||||7|||||||
6828534|SI|30/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|02||||02||02|||||||||||||||5|||||||
6828884|SI|30/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6828900|SI|08/05/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02|||||||||||||||5|||||||
6830181|SI|08/05/2020|01|01|NA|||NO|INS|OBT|AFF|01|100|PLD|01||||02||02||||||||||||||||||||||
6830190|SI|08/05/2020|01|01|NA|||SI|INS|OBT|AFF|01|100|PLD|03||||02||02|||||||||||||||5|||||||
6831685|SI|08/05/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|03||||02||02|||||||||||||||||Precarista|||||
6831767|SI|30/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6832585|SI|08/05/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6832602|SI|08/05/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6832614|SI|08/05/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6833269|SI|11/05/2020|01|01|NA|||SI|INS|OBT|AFF|01|100|PLD|03||||02||02||||||||||||||||||||||
