Centro bankia|Nombre Largo|centro espejo CBK|Nombre en CBK
1755|OFICINA 1755|4206|OF. MADRID-DR. GARCÍA TAPIA-MÉRIDA
1756|OFICINA 1756|2762|OF. MADRID-SANTA ENGRACIA-RÍOS ROSA
1757|OFICINA 1757|3705|OF. MADRID-GUADALUPE
1759|OFICINA 1759|3419|OF. MADRID-SANTA ENGRACIA-IGLESIA
1762|OFICINA ÁGIL 1762|3129|OF. ÁGIL MADRID-ALCALÁ-C. LINEAL
1763|OFICINA 1763|5773|OF. MADRID-TETUÁN
1765|OFICINA 1765|1177|OF. MADRID-ALCALÁ-EDUARDO TERÁN
1766|OFICINA 1766|1091|OF. MADRID-PUERTA TOLEDO
1768|OFICINA 1768|5768|OF. MADRID-ALAMEDA DE OSUNA-RIOJA
1769|OFICINA 1769|4130|OF. MADRID-FERNANDO POO
1771|OFICINA 1771|5099|OF. MADRID-VALLEHERMOSO-A.AGUILERA
1773|OFICINA 1773|5465|OF. MADRID-LONGARES
1774|OFICINA 1774|6318|OF. MADRID-GOYA
1775|OFICINA ÁGIL 1775|3270|OF. ÁGIL MADRID-PEÑAGRANDE
1776|OFICINA 1776|2625|OF. MADRID-NTRA. SRA. DE FÁTIMA
1777|OFICINA 1777|1134|OF. MADRID-ZAIDA-FRAGATA
1778|OFICINA ÁGIL 1778|5944|OF. ÁGIL MADRID-AV. MORATALAZ-VINAT
1779|OFICINA ÁGIL 1779|6083|OF. ÁGIL MADRID-RAFAELA IBARRA
1782|OFICINA ÁGIL 1782|2895|OF. ÁGIL MADRID-Pº EXTREMADURA-GUADA
1786|OFICINA 1786|3256|OF. MADRID-CALAHORRA-VICÁLVARO
1787|OFICINA 1787|6186|OF. MADRID-ASAMBLEA DE MADRID
1790|OFICINA 1790|4466|OF. MADRID-CARLOS MARTÍN A.-PORTAZG
1792|OFICINA 1792|1459|OF. MADRID-LA VAGUADA-SANGENJO
1795|OFICINA 1795|1311|OF. MADRID-ESPERANZA
1796|OFICINA 1796|723|OF. MADRID-CAMINO DE VINATEROS-ESTR
1799|OFICINA ÁGIL 1799|682|OF. ÁGIL MADRID-ALCALÁ-GUTIERREZ CE
1801|OFICINA 1801|1347|OF. MADRID-Pº YESERÍAS
1804|OFICINA 1804|1174|OF. MADRID-SANTA MARÍA REINA
1807|OFICINA 1807|780|OF. MADRID-DR. ESQUERDO-CONDE DE CA
1808|OFICINA 1808|6348|OF. MADRID-SOR ANGELA DE LA CRUZ
1810|OFICINA 1810|2526|OF. MADRID-GRAN AVENIDA
1812|OFICINA 1812|4826|OF. MADRID-LA VAGUADA
