ID_ASUNTO_RCV|TIPO_ASUNTO|NUMERO_ACTIVO
6000000000000105|Concursal|7315048
6000000000000105|Concursal|7315046
6000000000000105|Concursal|7315053
6000000000000105|Concursal|7315050
6000000000000105|Concursal|7315039
6000000000000105|Concursal|7315041
6000000000000105|Concursal|7453048
6000000000000105|Concursal|7315051
6000000000000105|Concursal|7315052
6000000000000105|Concursal|7315049
6000000000000105|Concursal|7315040
6000000000000105|Concursal|7315044
6000000000000105|Concursal|7315056
6000000000000105|Concursal|7315045
6000000000000105|Concursal|7315042
6000000000000105|Concursal|7315054
6000000000000105|Concursal|7315043
6000000000000105|Concursal|7447167
6000000000000106|Concursal|7453824
6000000000000107|Litigio|7453943
6000000000000108|Litigio|7344679
6000000000000108|Litigio|7344669
6000000000000108|Litigio|7344680
6000000000000108|Litigio|7454179
6000000000000108|Litigio|7344676
6000000000000108|Litigio|7344672
6000000000000108|Litigio|7344674
6000000000000108|Litigio|7344671
6000000000000108|Litigio|7344675
6000000000000108|Litigio|7344670
6000000000000108|Litigio|7344677
6000000000000108|Litigio|7344678
6000000000000108|Litigio|7344673
6000000000000109|Litigio|7318774
6000000000000110|Litigio|7372762
6000000000000112|Litigio|7360519
6000000000000113|Litigio|7319224
6000000000000113|Litigio|7319223
6000000000000114|Litigio|7356400
6000000000000115|Litigio|7318777
6000000000000116|Litigio|7420085
6000000000000118|Litigio|7433884
6000000000000118|Litigio|7433883
6000000000000119|Litigio|7316552
6000000000000120|Litigio|7454430
6000000000000121|Litigio|7402911
6000000000000122|Concursal|7419796
6000000000000122|Concursal|7421219
6000000000000122|Concursal|7421420
6000000000000123|Litigio|7369283
6000000000000123|Litigio|7369287
6000000000000123|Litigio|7369284
6000000000000123|Litigio|7369285
6000000000000123|Litigio|7369286
6000000000000124|Litigio|7447949
6000000000000124|Litigio|7315212
6000000000000125|Litigio|7448145
6000000000000126|Litigio|7453720
6000000000000127|Litigio|7419565
6000000000000128|Litigio|7314833
6000000000000128|Litigio|7314831
6000000000000128|Litigio|7314836
6000000000000128|Litigio|7314832
6000000000000128|Litigio|7314834
6000000000000128|Litigio|7314835
6000000000000129|Litigio|7318599
6000000000000130|Litigio|7319391
6000000000000130|Litigio|7319390
6000000000000131|Litigio|7368899
6000000000000131|Litigio|7368900
6000000000000132|Litigio|7314148
6000000000000133|Litigio|7451872
6000000000000133|Litigio|7447664
6000000000000134|Litigio|7448727
6000000000000135|Litigio|7320123
6000000000000136|Litigio|7318837
6000000000000137|Litigio|7452957
6000000000000138|Litigio|7320371
6000000000000139|Litigio|7431695
6000000000000140|Litigio|7419933
6000000000000142|Litigio|7451948
6000000000000143|Litigio|7431911
6000000000000144|Litigio|7319317
6000000000000145|Litigio|7455167
6000000000000146|Litigio|7316271
6000000000000147|Litigio|7344374
6000000000000148|Litigio|7447451
6000000000000149|Litigio|7315121
6000000000000149|Litigio|7315122
6000000000000149|Litigio|7315119
