Acreedor|Nº ident.fis.1
4001337|P0308800B
4001338|P0308900J
4001339|P0309000H
4001340|P0309100F
4001341|P0309200D
4001342|P0309300B
4001343|P0309400J
4001344|P0309500G
4001345|P0309600E
4001346|P0309700C
4001347|P0309800A
4001348|P0310000E
4001349|P0310100C
4001350|P0310200A
4001351|P0310300I
4001352|P0310400G
4001353|P0310500D
4001354|P0310700J
4001355|P0310900F
4001356|P0311100B
4001357|P0311200J
4001358|P0311300H
4001359|P0311400F
4001360|P0311500C
4001361|P0311600A
4001362|P0311700I
4001363|P0311800G
4001364|P0311900E
4001365|P0312000C
4001366|P0312100A
4001367|P0312200I
4001368|P0312300G
4001369|P0312400E
4001370|P0312500B
4001371|P0312600J
4001372|P0312700H
4001373|P0312900D
4001374|P0313100J
4001375|P0313200H
4001376|P0313600I
4001377|P0313700G
4001378|P0313800E
4001379|P0313900C
4001380|P0314000A
4001381|P0314200G
4001382|P0400100D
4001383|P0400300J
4001384|P0400600C
4001385|P0401000E
4001386|P04013100
4001387|P0401700J
4001388|P0402400F
4001389|P04024300
4001390|P0402900E
4001391|P0403000C
4001392|P0403100A
4001393|P0403200I
4001394|P0403400E
4001395|P0403500B
4001396|P0403800F
