Mapeo Clase-Activo|
Cód. Activo|Clase
000001-01|
060641|00003900
060661|00004100
060667|00003900
060671|00003900
060672|00003900
060690|00003900
060715|00003900
060717|00003900
060720|00003900
060733|00003900
060743|00003900
060744|00003900
060746|00003900
060747|00004100
060798|00003900
060799|00003900
060800|00003900
060805|00003900
060806|00003900
060807|00003900
060808|00003900
060809|00003900
060810|00003900
060831|00003900
060837|00003900
060848|00003900
060869|00003900
060894|00003900
060895|00003900
060913|00003900
060921|00003300
060922|00003300
060926|00003900
060933|00003900
060937|00003900
060938|00003900
060939|00003300
060942|00003900
060952|00003900
060954|00003900
060955|00003900
060956|00003900
060962|00003900
060963|00003900
060975|00003300
060999|00003900
061005|00003900
061022|00003900
061029|00003900
061049|00003900
061050|00003900
061052|00003900
061060|00003900
061087|00003900
061131|00003900
061133|00003900
061134|00003900
061136|00003900
061137|00003900
061149|00003900
061200|00003900
061213|00003900
061214|00003900
061230|00003900
061242|00003900
061286|00003900
061307|00003900
061316|00003900
061317|00003900
061335|00003900
061336|00003900
061337|00003900
061344|00003900
061347|00003900
061349|00003900
061355|00003900
061358|00003900
061359|00003900
061371|00003900
061374|00003900
061376|00003900
061380|00003900
061381|00003900
061383|00003900
061384|00003900
061388|00003900
061389|00003900
061390|00003900
061393|00003300
061402|00003900
061410|00003900
061439|00003900
061445|00003900
061446|00003900
061449|00003900
061452|00004100
061459|00003900
061460|00003900
061463|00003900
061466|00003900
061467|00003900
061473|00003900
061474|00003900
061475|00003900
061485|00003900
061486|00003900
061489|00003900
061490|00003900
061493|00003900
061514|00003900
061516|00003900
061518|00003300
061523|00003900
061526|00003900
061528|00003900
061531|00003900
061532|00003900
061536|00003900
061537|00004100
061538|00003900
061539|00003900
061541|00003900
061545|00003900
061548|00003900
061551|00003900
061570|00003900
061572|00003300
061575|00003900
061581|00003900
061583|00003900
061585|00003900
061587|00003900
061588|00003900
061589|00003900
061590|00003900
061591|00003900
061592|00003900
061593|00003900
061594|00003900
061595|00003900
061598|00003900
061599|00003900
061602|00003900
061622|00003900
061627|00003900
061628|00003900
061629|00003900
061642|00003900
061652|00003900
061654|00003900
061657|00003900
061658|00003900
061659|00003900
061662|00003900
061663|00003900
061664|00003900
061665|00003900
061666|00003900
061667|00003900
061668|00003900
061669|00003900
061670|00003900
061671|00003900
061672|00003900
061673|00003900
061674|00003900
061675|00003900
061676|00003900
061677|00003900
061678|00003900
061679|00003900
061680|00003900
061681|00003900
061682|00003900
061683|00003900
061684|00003900
061685|00003900
061686|00003900
061688|00003900
061689|00003900
061690|00003900
061691|00003900
061692|00003900
061693|00003900
061694|00003900
061697|00003900
061698|00003900
061699|00003900
061700|00003900
061701|00003900
061702|00003900
061703|00003900
061704|00003900
061705|00003900
061709|00003900
061725|00003900
061727|00003900
061728|00003900
061739|00003900
061752|00003300
061760|00003900
061761|00003900
061763|00003900
061764|00003900
061778|00003900
061790|00003900
061794|00003900
061811|00003900
061814|00003900
061817|00003900
061819|00003900
061822|00003900
061836|00003900
061858|00003900
061865|00003900
061871|00003900
061873|00003900
061874|00003900
061876|00003900
061882|00003900
061888|00003900
061897|00003900
061900|00003900
061903|00003900
061905|00003300
061908|00003900
061921|00003900
061922|00003900
061924|00003900
061926|00003900
061927|00003900
061929|00003900
061932|00003900
061933|00003900
061936|00003300
061939|00003900
061940|00003900
061941|00003900
061942|00003900
061944|00003900
061945|00003900
061948|00003900
061949|00003900
061952|00003900
061953|00003900
061967|00003900
061968|00003900
061972|00003900
061973|00003900
061975|00003900
061992|00003900
061998|00003900
062003|00003900
062004|00003900
062020|00003900
062034|00003300
062036|00003300
062040|00003300
062041|00003900
062043|00003900
062045|00003900
062052|00003900
062057|00003900
062058|00003900
062061|00003900
062069|00003900
062071|00003900
062075|00003900
062102|00003900
062112|00003900
062120|00003900
062121|00003900
062122|00003900
062123|00003900
062125|00003900
062127|00003900
062132|00003900
062143|00003900
062147|00003900
062149|00003900
062150|00003900
062151|00003900
062152|00003900
062156|00003900
062158|00003900
062159|00003900
062162|00003900
062165|00003900
062172|00003900
062175|00003900
062177|00003900
062179|00003900
062180|00003900
062182|00003300
062185|00003900
062186|00003900
062189|00003900
062190|00003900
062201|00003900
062204|00003900
062205|00003900
062212|00003900
062214|00003900
062221|00003900
062222|00003300
062225|00003300
062227|00003900
062229|00003300
062233|00003900
062235|00003900
062236|00003900
062248|00003900
062249|00003900
062252|00003900
062255|00003900
062259|00003900
062261|00003900
062267|00003900
062268|00003900
062269|00003900
062270|00003900
062271|00003900
062272|00003900
062273|00003900
062274|00003900
062275|00003900
062276|00003900
062277|00003900
062278|00003900
062279|00003900
062280|00003900
062283|00003900
062288|00003300
062298|00003900
062304|00003900
062310|00004100
062325|00003900
062328|00003900
062334|00003900
062336|00003900
062340|00003900
062342|00003900
062348|00003900
062351|00003900
062354|00003900
062356|00003900
062357|00003900
062359|00003900
062360|00003900
062367|00003900
062369|00003900
062371|00003900
062379|00003900
062382|00003900
062387|00003900
062393|00003900
062394|00003900
062395|00003900
062398|00003900
062402|00003900
062411|00003300
062414|00003900
062424|00003900
062433|00003900
062434|00003900
062441|00003900
062468|00003900
062482|00003900
062489|00003900
062493|00003900
062494|00003900
062495|00003900
062497|00003900
062508|00003900
062509|00003900
062518|00003900
062519|00003900
062520|00003900
062521|00003900
062522|00003900
062523|00003900
062524|00003900
062525|00003900
062527|00003900
062538|00003900
062539|00003900
062540|00003900
062541|00003900
062544|00003900
062545|00003900
062546|00003900
062550|00003900
062554|00003900
062556|00003900
062558|00003900
062567|00003900
062571|00003900
062573|00003900
062575|00003900
062578|00003900
062588|00003900
062592|00003900
062595|00003900
062597|00003900
062598|00003900
062599|00003900
062605|00003900
062606|00003900
062608|00003900
062614|00003300
062615|00003300
062619|00003900
062623|00003900
062631|00003900
062640|00003900
062641|00003900
062647|00003900
062650|00003900
062655|00003900
062656|00003900
062657|00003900
062659|00003900
062660|00003900
062663|00003900
062664|00003900
062665|00003900
062666|00003900
062667|00003900
062668|00003900
062671|00003900
062672|00003900
062673|00003900
062674|00003900
062677|00003900
062680|00003900
062681|00003900
062686|00003900
062687|00003900
062689|00003900
062697|00003900
062699|00003900
062700|00003900
062701|00003900
062702|00003900
062714|00003900
062715|00003900
062716|00003900
062718|00003900
062719|00003900
062723|00003900
062725|00003900
062727|00003900
062728|00003900
062729|00003900
062734|00003900
062739|00003900
062746|00003900
062751|00003900
062752|00003900
062753|00003900
062756|00003900
