ID HAYA;ID SERVICER;ID INMUEBLE BS
7040405;213787219743;213787219743
7040406;213787219744;213787219744
7040407;213787219745;213787219745
7040408;213787219746;213787219746
7040409;213787219747;213787219747
7040410;213787219748;213787219748
7040411;213787219749;213787219749
7040412;213787219750;213787219750
7040413;213787219751;213787219751
7040414;213787219752;213787219752
7040415;213787219753;213787219753
7040416;213787219754;213787219754
7040417;213787219755;213787219755
7040418;213787219756;213787219756
7040419;213787219757;213787219757
7040420;213787219758;213787219758
7040421;213787219759;213787219759
7040422;213787219760;213787219760
7040423;213787219761;213787219761
7040424;213791219697;213791219697
7040425;213794219706;213794219706
7040426;213795219707;213795219707
7040427;213796219795;213796219795
7040428;213796219796;213796219796
7040429;213796219797;213796219797
7040430;213796219798;213796219798
7040431;213796219799;213796219799
7040432;213796219800;213796219800
7040433;213796219801;213796219801
7040434;213796219802;213796219802
7040435;213796219803;213796219803
7040436;213796219804;213796219804
7040437;213796219805;213796219805
7040438;213796219806;213796219806
7040439;213796219807;213796219807
7040440;213796219808;213796219808
7040441;213796219809;213796219809
7040442;213796219810;213796219810
7040443;213796219811;213796219811
7040444;213796219812;213796219812
7040445;213796219813;213796219813
7040446;213796219814;213796219814
7040447;213796219815;213796219815
7040448;213796219816;213796219816
7040449;213797219708;213797219708
7040450;213798219709;213798219709
7040451;213799219817;213799219817
7040452;213799219818;213799219818
7040453;213799219819;213799219819
7040454;213800219820;213800219820
7040455;213805220469;213805220469
7040456;213806220470;213806220470
7040457;213809219839;213809219839
7040458;213809219840;213809219840
7040459;213809219848;213809219848
7040460;213809219849;213809219849
7040461;213809219852;213809219852
7040462;213809219855;213809219855
7040463;213809219858;213809219858
7040464;213809219859;213809219859
7040465;213809219861;213809219861
7040466;213809219864;213809219864
7040467;213809219867;213809219867
7040468;213809219868;213809219868
7040469;213809219869;213809219869
7040470;213809219871;213809219871
7040471;213809219872;213809219872
7040472;213809219873;213809219873
7040473;213809219874;213809219874
7040474;213809219876;213809219876
7040475;213809219877;213809219877
7040476;213809219879;213809219879
7040477;213809219880;213809219880
7040478;213809219881;213809219881
7040479;213809219884;213809219884
7040480;213809219886;213809219886
7040481;213809219888;213809219888
7040482;213809219892;213809219892
7040483;213809219893;213809219893
7040484;213809219894;213809219894
7040485;213809219901;213809219901
7040486;213809219902;213809219902
7040487;213809219903;213809219903
7040488;213809219904;213809219904
7040489;213809219918;213809219918
7040490;213809219919;213809219919
7040491;213809219921;213809219921
7040492;213809219923;213809219923
7040493;213809219925;213809219925
7040494;213809219927;213809219927
7040495;213809219928;213809219928
