
    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     16296          2       8421         11                                     
     16299          2       8802         11                                     
     16304          2       9006          8                                     
     16308          2       9216         11                                     
      9306          2       4904          5                                     
     14586          2       1602         11                                     
     14603          2       5704          8                                     
     14608          2       6112         11                                     
     14609          2       6112         11                                     
     14625          2       6801         11                                     
     15791          2       3104          7                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     15814          2       6106         11                                     
     15942          2       8421          8                                     
     15945          2       8430         11                                     
     15950          2       8511         11                                     
     15953          2       8707         11                                     
     15956          2       8714         11                                     
     15966          2       9237         11                                     
     15972          2       9253         11                                     
     16312          2       9227         11                                     
     16314          2       9229         11                                     
     16316          2       9246         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     16318          2       9251         11                                     
     16379          2       1413         11                                     
     14628          2       6817         11                                     
     14638          2       7002         11                                     
     14642          2       7307         11                                     
     14648          2       7345         11                                     
     14682          2       8421         11                                     
     14727          2       6757         21                                     

514 rows selected.

